dataset,polluter,level,model,accuracy,f1_macro,auc_roc
TelcoCustomerChurn,none,0.0,LogisticRegression,0.8084,0.7389,0.8349
TelcoCustomerChurn,none,0.0,RandomForest,0.7835,0.698,0.8055
TelcoCustomerChurn,none,0.0,XGBoost,0.7835,0.7041,0.8124
TelcoCustomerChurn,none,0.0,SVC,0.8041,0.7303,0.8241
TelcoCustomerChurn,none,0.0,MLP,0.7509,0.6792,0.7632
SouthGermanCredit,none,0.0,LogisticRegression,0.76,0.6991,0.7926
SouthGermanCredit,none,0.0,RandomForest,0.785,0.6988,0.8049
SouthGermanCredit,none,0.0,XGBoost,0.795,0.7415,0.8119
SouthGermanCredit,none,0.0,SVC,0.74,0.674,0.781
SouthGermanCredit,none,0.0,MLP,0.77,0.7235,0.759
letter,none,0.0,LogisticRegression,0.766,0.7644,0.9786
letter,none,0.0,RandomForest,0.9577,0.9577,0.9993
letter,none,0.0,XGBoost,0.9593,0.9592,0.9996
letter,none,0.0,SVC,0.8455,0.8447,0.9935
letter,none,0.0,MLP,0.957,0.957,0.9996
TelcoCustomerChurn,class_balance,0.1,LogisticRegression,0.7573,0.7212,0.8341
TelcoCustomerChurn,class_balance,0.1,RandomForest,0.7374,0.6962,0.8095
TelcoCustomerChurn,class_balance,0.1,XGBoost,0.7346,0.6972,0.8059
TelcoCustomerChurn,class_balance,0.1,SVC,0.7282,0.7005,0.835
TelcoCustomerChurn,class_balance,0.1,MLP,0.6799,0.6425,0.7301
TelcoCustomerChurn,class_balance,0.25,LogisticRegression,0.7764,0.7285,0.8347
TelcoCustomerChurn,class_balance,0.25,RandomForest,0.7679,0.7161,0.8096
TelcoCustomerChurn,class_balance,0.25,XGBoost,0.7466,0.697,0.7988
TelcoCustomerChurn,class_balance,0.25,SVC,0.7239,0.697,0.8346
TelcoCustomerChurn,class_balance,0.25,MLP,0.7317,0.6837,0.7715
TelcoCustomerChurn,class_balance,0.5,LogisticRegression,0.8084,0.7373,0.8348
TelcoCustomerChurn,class_balance,0.5,RandomForest,0.7821,0.692,0.8103
TelcoCustomerChurn,class_balance,0.5,XGBoost,0.7708,0.6873,0.8028
TelcoCustomerChurn,class_balance,0.5,SVC,0.7033,0.6807,0.8305
TelcoCustomerChurn,class_balance,0.5,MLP,0.7331,0.6413,0.749
TelcoCustomerChurn,class_balance,0.75,LogisticRegression,0.7743,0.5825,0.8376
TelcoCustomerChurn,class_balance,0.75,RandomForest,0.78,0.6266,0.8139
TelcoCustomerChurn,class_balance,0.75,XGBoost,0.7708,0.6274,0.8037
TelcoCustomerChurn,class_balance,0.75,SVC,0.7275,0.6999,0.8344
TelcoCustomerChurn,class_balance,0.75,MLP,0.7551,0.6343,0.7701
TelcoCustomerChurn,class_balance,0.9,LogisticRegression,0.7346,0.4235,0.8325
TelcoCustomerChurn,class_balance,0.9,RandomForest,0.7431,0.4726,0.7937
TelcoCustomerChurn,class_balance,0.9,XGBoost,0.7445,0.5003,0.8
TelcoCustomerChurn,class_balance,0.9,SVC,0.731,0.7017,0.8302
TelcoCustomerChurn,class_balance,0.9,MLP,0.7495,0.5755,0.7782
TelcoCustomerChurn,class_balance,0.95,LogisticRegression,0.7346,0.4235,0.8232
TelcoCustomerChurn,class_balance,0.95,RandomForest,0.7388,0.4452,0.7476
TelcoCustomerChurn,class_balance,0.95,XGBoost,0.7445,0.4756,0.7607
TelcoCustomerChurn,class_balance,0.95,SVC,0.7175,0.689,0.8185
TelcoCustomerChurn,class_balance,0.95,MLP,0.748,0.5004,0.7864
TelcoCustomerChurn,completeness,0.1,LogisticRegression,0.8062,0.7373,0.8317
TelcoCustomerChurn,completeness,0.1,RandomForest,0.7828,0.6947,0.8202
TelcoCustomerChurn,completeness,0.1,XGBoost,0.7793,0.7091,0.8147
TelcoCustomerChurn,completeness,0.1,SVC,0.7218,0.6954,0.83
TelcoCustomerChurn,completeness,0.1,MLP,0.7537,0.6489,0.7632
TelcoCustomerChurn,completeness,0.25,LogisticRegression,0.8055,0.735,0.8318
TelcoCustomerChurn,completeness,0.25,RandomForest,0.7928,0.7105,0.8217
